flow,velo,dia,t,material,Safety_Status
1241.933385,1.91,0.5,0.01509,22.5,LOW
1241.933385,1.91,0.5,0.01509,19.3,LOW
1290.2371,1.984,0.5,0.01509,22.5,LOW
1290.2371,1.984,0.5,0.01509,19.3,LOW
1298.099039,1.997,0.5,0.01509,22.5,LOW
1298.099039,1.997,0.5,0.01509,19.3,LOW
1827.057437,2.1,0.5,0.01509,22.5,LOW
1827.057437,2.1,0.5,0.01509,19.3,LOW
1367.637958,2.104,0.5,0.01509,22.5,LOW
1367.637958,2.104,0.5,0.01509,19.3,LOW
1368.969738,2.106,0.5,0.01509,22.5,LOW
1368.969738,2.106,0.5,0.01509,19.3,LOW
1162.433478,2.221,0.45,0.01427,22.5,LOW
1162.433478,2.221,0.45,0.01427,19.3,LOW
1459.148843,2.244,0.5,0.01509,22.5,LOW
1459.148843,2.244,0.5,0.01509,19.3,LOW
1461.630212,2.249,0.5,0.01509,22.5,LOW
1461.630212,2.249,0.5,0.01509,19.3,LOW
1479.79613,2.276,0.5,0.01509,22.5,LOW
1479.79613,2.276,0.5,0.01509,19.3,LOW
1500.616868,2.309,0.5,0.01509,22.5,LOW
1500.616868,2.309,0.5,0.01509,19.3,LOW
1515.886702,2.332,0.5,0.01509,22.5,LOW
1515.886702,2.332,0.5,0.01509,19.3,LOW
1226.46416,2.343,0.45,0.01427,22.5,LOW
1226.46416,2.343,0.45,0.01427,19.3,LOW
1550.533326,2.386,0.5,0.01509,22.5,LOW
1550.533326,2.386,0.5,0.01509,19.3,LOW
1555.085931,2.392,0.5,0.01509,22.5,LOW
1555.085931,2.392,0.5,0.01509,19.3,LOW
1272.038671,2.431,0.45,0.01427,22.5,LOW
1272.038671,2.431,0.45,0.01427,19.3,LOW
1609.119024,2.475,0.5,0.01509,22.5,LOW
1609.119024,2.475,0.5,0.01509,19.3,LOW
1619.233446,2.49,0.5,0.01509,22.5,LOW
1619.233446,2.49,0.5,0.01509,19.3,LOW
1632.79111,2.512,0.5,0.01509,22.5,LOW
1632.79111,2.512,0.5,0.01509,19.3,LOW
1636.453044,2.516,0.5,0.01509,22.5,LOW
1636.453044,2.516,0.5,0.01509,19.3,LOW
1660.927153,2.555,0.5,0.01509,22.5,LOW
1660.927153,2.555,0.5,0.01509,19.3,LOW
